identity,tip_company,transactions,tipped_transactions
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,Stellium,106,106
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,Temporal,44,44
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,blockRazor,7,7
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,blockrazor,7,7
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,blocksprint,42,42
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,bloxroute,18,18
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,landX,140,140
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,stellium,237,237
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,(none),274,0
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,0slot,16,16
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,AstraLane,18,18
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,BloxRoute,2,2
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,Falcon,94,94
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,Helius,81,81
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,Jito,25,25
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,Nextblock,5,5
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,NodeOne,18,18
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,Soyas,2,2
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,Stellium,38,38
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,Temporal,19,19
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,blockRazor,2,2
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,blockrazor,5,5
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,blocksprint,30,30
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,bloxroute,6,6
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,landX,124,124
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,stellium,178,178
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,(none),718,0
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,0slot,51,51
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,AstraLane,68,68
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,BloxRoute,3,3
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,Falcon,168,168
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,Flashblock,1,1
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,Helius,248,248
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,Jito,53,53
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,Nextblock,30,30
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,NodeOne,82,82
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,Soyas,8,8
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,Stellium,120,120
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,Temporal,78,78
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,blockRazor,6,6
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,blockrazor,21,21
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,blocksprint,62,62
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,bloxroute,43,43
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,landX,258,258
1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,stellium,351,351
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,(none),100,0
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,0slot,9,9
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,AstraLane,5,5
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,Falcon,13,13
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,Helius,29,29
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,Jito,11,11
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,Nextblock,2,2
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,NodeOne,9,9
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,Soyas,3,3
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,Stellium,18,18
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,Temporal,6,6
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,blockrazor,1,1
