identity,leader_class,lane_a,name_a,lane_b,name_b,comparisons,a_wins,a_win_rate,matched_fee_comparisons,matched_fee_a_wins,matched_fee_a_win_rate
2AKKnirWVZMhnzuwqpizw9SwfZjGpRFLx2zCCNtPWpbc,prio,7,tpu-quic,10,nodeone,29,26,0.896551724137931,6,5,0.8333333333333334
2AKKnirWVZMhnzuwqpizw9SwfZjGpRFLx2zCCNtPWpbc,prio,9,stellium,10,nodeone,15,12,0.8,4,4,1.0
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,1,rpc,2,helius,8,6,0.75,5,5,1.0
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,1,rpc,3,zeroslot,9,8,0.8888888888888888,4,4,1.0
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,1,rpc,6,landx,6,5,0.8333333333333334,4,4,1.0
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,1,rpc,7,tpu-quic,23,10,0.43478260869565216,11,5,0.45454545454545453
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,1,rpc,9,stellium,7,7,1.0,4,4,1.0
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,1,rpc,10,nodeone,5,5,1.0,4,4,1.0
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,2,helius,3,zeroslot,24,20,0.8333333333333334,13,12,0.9230769230769231
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,2,helius,4,temporal,1,1,1.0,0,0,
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,2,helius,6,landx,20,8,0.4,12,6,0.5
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,2,helius,7,tpu-quic,36,3,0.08333333333333333,7,1,0.14285714285714285
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,2,helius,9,stellium,15,6,0.4,12,5,0.4166666666666667
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,2,helius,10,nodeone,13,2,0.15384615384615385,11,2,0.18181818181818182
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,3,zeroslot,4,temporal,1,1,1.0,0,0,
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,3,zeroslot,6,landx,19,12,0.631578947368421,12,9,0.75
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,3,zeroslot,7,tpu-quic,39,5,0.1282051282051282,10,0,0.0
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,3,zeroslot,9,stellium,19,14,0.7368421052631579,11,8,0.7272727272727273
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,3,zeroslot,10,nodeone,10,5,0.5,8,4,0.5
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,4,temporal,6,landx,1,1,1.0,0,0,
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,4,temporal,7,tpu-quic,2,0,0.0,0,0,
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,4,temporal,9,stellium,2,0,0.0,0,0,
