identity,leader_class,lane,lane_name,period,race_presence,firsts,neutral_expected_firsts,first_rate,lift_vs_neutral,mean_copies,mean_normalized_rank,analyzable_races_total
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,1,rpc,week:2026-W28,1,1,0.25,1.0,4.0,1.0,0.0,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,2,helius,all,15,3,4.4,0.2,0.6818181818181818,1.0666666666666667,0.55,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,2,helius,week:2026-W28,6,1,2.0833333333333335,0.16666666666666666,0.48,1.1666666666666667,0.6388888888888888,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,2,helius,week:2026-W29,9,2,2.3166666666666664,0.2222222222222222,0.8633093525179857,1.0,0.4907407407407407,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,3,zeroslot,all,14,2,4.15,0.14285714285714285,0.48192771084337344,1.0714285714285714,0.6607142857142857,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,3,zeroslot,week:2026-W28,5,0,1.4166666666666665,0.0,0.0,1.2,0.6666666666666666,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,3,zeroslot,week:2026-W29,9,2,2.733333333333333,0.2222222222222222,0.7317073170731708,1.0,0.6574074074074074,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,4,temporal,all,1,0,0.5,0.0,0.0,1.0,1.0,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,4,temporal,week:2026-W28,1,0,0.5,0.0,0.0,1.0,1.0,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,6,landx,all,14,0,3.9000000000000004,0.0,0.0,1.0714285714285714,0.7083333333333333,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,6,landx,week:2026-W28,6,0,1.5833333333333333,0.0,0.0,1.1666666666666667,0.6944444444444443,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,6,landx,week:2026-W29,8,0,2.3166666666666664,0.0,0.0,1.0,0.7187500000000001,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,7,tpu-quic,all,27,19,9.483333333333333,0.7037037037037037,2.0035149384885766,14.518518518518519,0.18518518518518515,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,7,tpu-quic,week:2026-W28,12,8,4.499999999999999,0.6666666666666666,1.7777777777777781,13.666666666666666,0.2222222222222222,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,7,tpu-quic,week:2026-W29,15,11,4.983333333333333,0.7333333333333333,2.2073578595317724,15.2,0.15555555555555556,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,9,stellium,all,14,4,4.4,0.2857142857142857,0.9090909090909091,1.1428571428571428,0.5297619047619048,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,9,stellium,week:2026-W28,3,3,1.0,1.0,3.0,1.3333333333333333,0.0,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,9,stellium,week:2026-W29,11,1,3.4000000000000004,0.09090909090909091,0.2941176470588235,1.0909090909090908,0.6742424242424242,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,10,nodeone,all,6,0,1.9166666666666665,0.0,0.0,1.1666666666666667,0.8611111111111112,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,10,nodeone,week:2026-W28,5,0,1.6666666666666665,0.0,0.0,1.0,0.9,357105
ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD,prio,10,nodeone,week:2026-W29,1,0,0.25,0.0,0.0,2.0,0.6666666666666666,357105
Ey3DkEVbfBxfWmkTsG7Hqj7jshYf5Zx9H8462Zjjkykf,prio,0,unknown,all,1,0,0.3333333333333333,0.0,0.0,1.0,1.0,357105
Ey3DkEVbfBxfWmkTsG7Hqj7jshYf5Zx9H8462Zjjkykf,prio,0,unknown,week:2026-W28,1,0,0.3333333333333333,0.0,0.0,1.0,1.0,357105
Ey3DkEVbfBxfWmkTsG7Hqj7jshYf5Zx9H8462Zjjkykf,prio,1,rpc,all,57,6,12.423809523809519,0.10526315789473684,0.4829436565734,2.719298245614035,0.6103592314118631,357105
Ey3DkEVbfBxfWmkTsG7Hqj7jshYf5Zx9H8462Zjjkykf,prio,1,rpc,week:2026-W28,33,5,7.217857142857145,0.15151515151515152,0.6927263730826322,2.757575757575758,0.6262626262626263,357105
Ey3DkEVbfBxfWmkTsG7Hqj7jshYf5Zx9H8462Zjjkykf,prio,1,rpc,week:2026-W29,24,1,5.205952380952382,0.041666666666666664,0.19208781157100382,2.6666666666666665,0.5884920634920635,357105
Ey3DkEVbfBxfWmkTsG7Hqj7jshYf5Zx9H8462Zjjkykf,prio,2,helius,all,104,7,22.382142857142842,0.0673076923076923,0.31274932184458293,1.0480769230769231,0.6229395604395603,357105
Ey3DkEVbfBxfWmkTsG7Hqj7jshYf5Zx9H8462Zjjkykf,prio,2,helius,week:2026-W28,58,6,13.10357142857142,0.10344827586206896,0.457890433360589,1.0344827586206897,0.5648604269293924,357105
